*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=ornamentv3_2e_encoders
*Date=08:58:38
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
222;100nF;0805 [SMD, multilayer];54.0232;-93.2826;0;Bottom;510R
223;;;12.7782;-28.8525;0;Bottom;Via72
224;220;0805 [SMD];19.3483;-43.1575;-90;Bottom;220R
225;;;25.7302;-54.0387;0;Bottom;Copper Fill195
226;;;12.4841;-66.5736;0;Bottom;Copper Fill122
227;;;10.9474;-63.6526;0;Bottom;Copper Fill229
228;;PG203J [THT];33.6859;-18.3408;0;Bottom;TR4
229;;;2.9845;-36.3984;0;Bottom;Copper Fill72
230;;;57.4548;-13.0939;0;Bottom;Copper Fill32
231;;;53.6829;-86.1824;0;Bottom;Copper Fill58
232;;;25.4483;-60.7826;0;Bottom;Via37
233;;;12.4968;-96.9139;0;Bottom;Copper Fill14
234;220;0805 [SMD];34.0484;-43.1575;-90;Bottom;47k*
235;;;1.31713;-71.1193;0;Bottom;Via63
236;;;32.3596;-79.9086;0;Bottom;Copper Fill217
237;;;21.5392;-78.4354;0;Bottom;Copper Fill223
238;;;24.3205;-9.3474;0;Bottom;Copper Fill39
239;;;16.5862;-18.6438;0;Bottom;Copper Fill298
240;;400 mil [THT];25.6783;-79.4826;0;Bottom;L1
241;;;49.5046;-89.5987;0;Bottom;Copper Fill180
242;;;35.433;-33.1599;0;Bottom;Copper Fill136
243;;;57.3913;-39.3956;0;Bottom;Copper Fill130
244;;;57.0484;-57.3407;0;Bottom;Copper Fill177
245;;;58.8645;-71.6536;0;Bottom;Copper Fill110
246;;;2.14827;-27.4826;0;Bottom;Via62
247;100nF;0805 [SMD, multilayer];42.1482;-66.4575;90;Bottom;100n
248;;;35.0901;-32.817;0;Bottom;Copper Fill134
249;;;8.54823;-55.5826;0;Bottom;Via83
250;220;0805 [SMD];2.14824;-16.7076;90;Bottom;33k
251;;;16.8402;-66.3704;0;Bottom;Copper Fill240
252;220;0805 [SMD];28.0232;-38.1825;0;Bottom;100n
253;;;7.0104;-31.8264;0;Bottom;Copper Fill301
254;220;0805 [SMD];24.8482;-28.6575;-90;Bottom;24k9
255;;;59.5122;-39.7131;0;Bottom;Copper Fill67
256;100nF;0805 [SMD, multilayer];4.92333;-71.0826;0;Bottom;10uF
257;;;57.3913;-40.0814;0;Bottom;Copper Fill129
258;100nF;0805 [SMD, multilayer];19.1482;-34.2576;-90;Bottom;100n
